series,hidden,intermediate,num_experts,topk,tokens,variant,mode,execution,l2_flush,repetitions,p50_rank0_us_median_of_repetitions,p50_rank0_us_min_repetition,p50_rank0_us_max_repetition,max_rank_p50_us_median_of_repetitions,max_rank_p50_us_min_repetition,max_rank_p50_us_max_repetition
characterization,7168,3072,384,6,8192,bf16,kernel,eager,False,3,1827.951967716217,1827.455997467041,1828.7359476089478,1828.5120129585266,1827.455997467041,1829.3280005455017
characterization,7168,3072,384,6,8192,bf16,kernel,graph,False,3,1822.3040103912354,1821.9839930534363,1823.96799325943,1822.5440382957458,1821.9839930534363,1824.2719769477844
characterization,7168,3072,384,6,8192,ikr,forward,eager,False,3,14310.303688049316,14310.272216796875,14310.67180633545,14310.67180633545,14310.303688049316,14310.847759246826
characterization,7168,3072,384,6,8192,ikr,forward,graph,False,3,14252.431869506836,14249.119758605957,14253.77607345581,14252.431869506836,14249.119758605957,14253.77607345581
characterization,7168,3072,384,6,8192,ikr,kernel,eager,False,3,834.7839713096619,833.0399990081787,835.3280127048492,834.7839713096619,833.0399990081787,835.3280127048492
characterization,7168,3072,384,6,8192,ikr,kernel,graph,False,3,833.5359990596771,833.296000957489,833.6960077285767,833.5359990596771,833.3120048046112,833.6960077285767
reference,7168,2048,256,8,8,bf16,compute,eager,True,3,164.7999957203865,164.62399810552597,164.84799981117249,164.7999957203865,164.62399810552597,164.84799981117249
reference,7168,2048,256,8,8,ikr,compute,eager,True,3,150.30400454998016,149.9679982662201,150.64000338315964,150.4800021648407,150.01600235700607,150.64000338315964
reference,7168,2048,256,8,64,bf16,compute,eager,True,3,215.58400243520737,215.36000072956085,215.95200151205063,215.58400243520737,215.37599712610245,215.95200151205063
reference,7168,2048,256,8,64,ikr,compute,eager,True,3,195.3280046582222,194.7999969124794,195.3440010547638,195.3280046582222,194.88000124692917,195.3440010547638
reference,7168,2048,256,8,512,bf16,compute,eager,True,3,306.09600245952606,306.0159981250763,306.14399909973145,306.09600245952606,306.0159981250763,306.14399909973145
reference,7168,2048,256,8,512,ikr,compute,eager,True,3,211.90400421619415,211.69599890708923,212.0639979839325,211.90400421619415,211.69599890708923,212.0639979839325
reference,7168,2048,256,8,1024,bf16,compute,eager,True,3,437.74399161338806,436.6399943828583,437.8879964351654,437.74399161338806,436.6399943828583,438.400000333786
reference,7168,2048,256,8,1024,ikr,compute,eager,True,3,258.92800092697144,257.6479911804199,260.112002491951,258.992001414299,257.79199600219727,260.1599991321564
reference,7168,2048,256,8,2048,bf16,compute,eager,True,3,704.1119933128357,702.7679979801178,705.0880193710327,704.1119933128357,702.9119729995728,705.264002084732
reference,7168,2048,256,8,2048,ikr,compute,eager,True,3,361.1679971218109,361.05599999427795,361.9200140237808,361.56800389289856,361.05599999427795,361.9200140237808
reference,7168,2048,256,8,4096,bf16,compute,eager,True,3,1273.5199928283691,1272.704005241394,1275.327980518341,1273.5199928283691,1273.0560302734375,1275.327980518341
reference,7168,2048,256,8,4096,ikr,compute,eager,True,3,609.472006559372,608.9119911193848,610.4960143566132,609.472006559372,608.9119911193848,610.4960143566132
reference,7168,2048,256,8,8192,bf16,compute,eager,True,3,2448.991894721985,2447.4560022354126,2449.007987976074,2448.991894721985,2448.047995567322,2449.007987976074
reference,7168,2048,256,8,8192,ikr,compute,eager,True,3,1132.9119801521301,1131.2159895896912,1136.0480189323425,1132.9119801521301,1131.2159895896912,1136.0480189323425
reference,7168,3072,384,6,8,bf16,compute,eager,True,3,208.94400030374527,208.92800390720367,209.29600298404694,209.04000103473663,208.97600054740906,209.29600298404694
reference,7168,3072,384,6,8,ikr,compute,eager,True,3,197.07199931144714,196.87999784946442,197.07199931144714,197.07199931144714,196.87999784946442,197.07199931144714
