run,seed,M,K,global_scale,baseline,baseline_us,triton_us,speedup
reverse.jsonl,73,512,4096,32.0,cute_no_pdl,3.2287999987602234,2.653760015964508,1.2166887658779941
reverse.jsonl,73,1024,4096,1.0,cute_default,4.211840033531189,3.8841599225997925,1.0843631872685793
reverse.jsonl,73,1024,4096,1.0,cute_no_pdl,4.416640102863312,3.8841599225997925,1.1370901793114412
reverse.jsonl,73,1024,4096,32.0,cute_default,4.222079962491989,3.858879953622818,1.09412057727481
reverse.jsonl,73,1024,4096,32.0,cute_no_pdl,4.42335993051529,3.858879953622818,1.1462807819047398
reverse.jsonl,73,4096,7168,1.0,cute_default,26.116799116134647,18.48639965057373,1.4127574654767405
reverse.jsonl,73,4096,7168,1.0,cute_no_pdl,26.309440135955814,18.48639965057373,1.423178154386557
reverse.jsonl,73,4096,7168,32.0,cute_default,22.931519746780396,17.523839473724365,1.3085899229540665
reverse.jsonl,73,4096,7168,32.0,cute_no_pdl,22.920320034027103,17.523839473724365,1.3079508100033865
reverse.jsonl,73,16384,4096,1.0,cute_default,93.67871761322021,91.5385627746582,1.0233798169174937
reverse.jsonl,73,16384,4096,1.0,cute_no_pdl,93.31999778747559,91.5385627746582,1.0194610332391034
reverse.jsonl,73,16384,4096,32.0,cute_default,93.504638671875,91.31328105926515,1.0239982353847037
reverse.jsonl,73,16384,4096,32.0,cute_no_pdl,93.31999778747559,91.31328105926515,1.0219761759180246
reverse.jsonl,109,1,4096,1.0,cute_default,1.8361599743366241,1.5904000401496887,1.154527117695372
reverse.jsonl,109,1,4096,1.0,cute_no_pdl,1.959040015935898,1.5904000401496887,1.2317907233902692
reverse.jsonl,109,1,4096,32.0,cute_default,1.8361599743366241,1.5904000401496887,1.154527117695372
reverse.jsonl,109,1,4096,32.0,cute_no_pdl,1.959040015935898,1.5904000401496887,1.2317907233902692
reverse.jsonl,109,1,7168,1.0,cute_default,1.9180800020694733,1.8361599743366241,1.0446148641065143
reverse.jsonl,109,1,7168,1.0,cute_no_pdl,2.122880071401596,1.8361599743366241,1.1561520243727998
reverse.jsonl,109,1,7168,32.0,cute_default,1.95872001349926,1.823360025882721,1.07423656639122
reverse.jsonl,109,1,7168,32.0,cute_no_pdl,2.1638399362564087,1.823360025882721,1.1867321349270314
reverse.jsonl,109,2,4096,1.0,cute_default,1.959040015935898,1.5904000401496887,1.2317907233902692
reverse.jsonl,109,2,4096,1.0,cute_no_pdl,2.122880071401596,1.5904000401496887,1.3348088643167981
reverse.jsonl,109,2,4096,32.0,cute_default,1.959040015935898,1.5904000401496887,1.2317907233902692
reverse.jsonl,109,2,4096,32.0,cute_no_pdl,2.122880071401596,1.5904000401496887,1.3348088643167981
reverse.jsonl,109,3,4096,1.0,cute_default,1.959040015935898,1.6313600540161133,1.2008630535687668
reverse.jsonl,109,3,4096,1.0,cute_no_pdl,2.122880071401596,1.6313600540161133,1.301294626024126
reverse.jsonl,109,3,4096,32.0,cute_default,1.959040015935898,1.5904000401496887,1.2317907233902692
reverse.jsonl,109,3,4096,32.0,cute_no_pdl,2.122880071401596,1.5904000401496887,1.3348088643167981
reverse.jsonl,109,4,7168,1.0,cute_default,2.040960043668747,1.8771199882030487,1.0872826758520326
reverse.jsonl,109,4,7168,1.0,cute_no_pdl,2.2047999501228333,1.8771199882030487,1.1745652723209612
